name,rating,been
Orangetheory Fitness,5.0,2
"Phoenix Fitness, LLC",5.0,3
Seacoast Kettlebell,5.0,4
Nerdy Girl Fitness,5.0,1
Iron Empire,5.0,2
Prime Time All Stars,4.9,3
EverProven CrossFit,4.8,2
Atlantic Gymnastics Training,4.7,2
Lundholm Gymnasium,4.6,4
Dover High School,4.5,1
Hamel Student Recreation Center,4.5,5
Wildcat Fitness,3.9,2
Vanguard Key Clubs,3.8,4
Planet Fitness,3.5000000000000004,1
Forest Park Bldg 21,0.8,4
"Peak Potential Fitness and Wellness Center, L.L.C.",0.4,1
Pease MTB Trails,0.2,1
No Finish Line Fitness,0.0,2
Prime Time Cheer,0.0,1
