Name,Rating,been
Bamee Restaurant,5.0,4
Jonny Boston's International Restaurant,4.300000000000001,4
Little Lebanon To Go,5.0,4
2 Home Cooks,4.5,3
Earth's Harvest Kitchen & Juicery,4.5,4
Franz's Food,5.0,1
Fat Dog Kitchen,4.4,2
La Festa Brick & Brew,4.5,3
Chapel + Main Restaurant|Brewery,4.8999999999999995,4
Khaophums,4.1,4
The Gyro Spot,5.0,2
The Oak House,3.9999999999999996,2
"Saigon & Tokyo Dover , nh",5.0,1
River Bend Pizza & Subs,3.8,2
Patty B's Italian Restaurant,4.1,1
Ember Wood Fired Grill,4.0,1
Dos Amigos Burritos - Dover,5.0,1
99 Restaurants,4.1000000000000005,2
Newick's Lobster House,4.2,2
Applebee's Grill + Bar,3.6,4
